Entity,Code,Year,Population,Continent
Afghanistan,AFG,2022,40578846,Asia
Africa (UN),,2022,1446883651
Albania,ALB,2022,2827615,Europe
Algeria,DZA,2022,45477391,Africa
American Samoa,ASM,2022,48365,Oceania
Americas (UN),,2022,1034848562
Andorra,AND,2022,79722,Europe
Angola,AGO,2022,35635028,Africa
Anguilla,AIA,2022,14202,North America
Antigua and Barbuda,ATG,2022,92851,North America
Argentina,ARG,2022,45407904,South America
Armenia,ARM,2022,2880883,Asia
Aruba,ABW,2022,107792,North America
Asia (UN),,2022,4747661012
Australia,AUS,2022,26200987,Oceania
Austria,AUT,2022,9064679,Europe
Azerbaijan,AZE,2022,10295307,Asia
Bahamas,BHS,2022,397544,North America
Bahrain,BHR,2022,1533459,Asia
Bangladesh,BGD,2022,169384890,Asia
Barbados,BRB,2022,282324,North America
Belarus,BLR,2022,9173241,Europe
Belgium,BEL,2022,11641813,Europe
Belize,BLZ,2022,402741,North America
Benin,BEN,2022,13759507,Africa
Bermuda,BMU,2022,64772,North America
Bhutan,BTN,2022,780920,Asia
Bolivia,BOL,2022,12077155,South America
Bonaire Sint Eustatius and Saba,BES,2022,28654,North America
Bosnia and Herzegovina,BIH,2022,3204805,Europe
Botswana,BWA,2022,2439895,Africa
Brazil,BRA,2022,210306411,South America
British Virgin Islands,VGB,2022,38344,North America
Brunei,BRN,2022,455374,Asia
Bulgaria,BGR,2022,6825863,Europe
Burkina Faso,BFA,2022,22509037,Africa
Burundi,BDI,2022,13321101,Africa
Cambodia,KHM,2022,17201717,Asia
Cameroon,CMR,2022,27632771,Africa
Canada,CAN,2022,38821260,North America
Cape Verde,CPV,2022,519750,Africa
Cayman Islands,CYM,2022,71609,North America
Central African Republic,CAF,2022,5098038,Africa
Chad,TCD,2022,18455319,Africa
Chile,CHL,2022,19553032,South America
China,CHN,2022,1425179562,Asia
Colombia,COL,2022,51737944,South America
Comoros,COM,2022,834192,Africa
Congo,COG,2022,6035107,Africa
Cook Islands,COK,2022,14747,Oceania
Costa Rica,CRI,2022,5081765,North America
Cote d'Ivoire,CIV,2022,30395003,Africa
Croatia,HRV,2022,3907031,Europe
Cuba,CUB,2022,11059821,North America
Curacao,CUW,2022,185351,North America
Cyprus,CYP,2022,1331376,Asia
Czechia,CZE,2022,10673216,Europe
Democratic Republic of Congo,COD,2022,102396974,Africa
Denmark,DNK,2022,5902898,Europe
Djibouti,DJI,2022,1137100,Africa
Dominica,DMA,2022,66850,North America
Dominican Republic,DOM,2022,11230734,North America
East Timor,TLS,2022,1369299,Asia
Ecuador,ECU,2022,17823900,South America
Egypt,EGY,2022,112618251,Africa
El Salvador,SLV,2022,6280316,North America
Equatorial Guinea,GNQ,2022,1803550,Africa
Eritrea,ERI,2022,3409452,Africa
Estonia,EST,2022,1350092,Europe
Eswatini,SWZ,2022,1218921,Africa
Ethiopia,ETH,2022,125384285,Africa
Europe (UN),,2022,746964589
Falkland Islands,FLK,2022,3515,South America
Faroe Islands,FRO,2022,54039,Europe
Fiji,FJI,2022,919428,Oceania
Finland,FIN,2022,5569299,Europe
France,FRA,2022,66277412,Europe
French Guiana,GUF,2022,298319,South America
French Polynesia,PYF,2022,280389,Oceania
Gabon,GAB,2022,2430752,Africa
Gambia,GMB,2022,2636473,Africa
Georgia,GEO,2022,3794783,Asia
Germany,DEU,2022,84086228,Europe
Ghana,GHA,2022,33149151,Africa
Gibraltar,GIB,2022,37631,Europe
Greece,GRC,2022,10412481,Europe
Greenland,GRL,2022,56014,North America
Grenada,GRD,2022,116928,North America
Guadeloupe,GLP,2022,384703,North America
Guam,GUM,2022,165193,Asia
Guatemala,GTM,2022,17847877,North America
Guernsey,GGY,2022,63748,Europe
Guinea,GIN,2022,14055137,Africa
Guinea-Bissau,GNB,2022,2105537,Africa
Guyana,GUY,2022,821636,South America
Haiti,HTI,2022,11503604,North America
High-income countries,,2022,1254316684
Honduras,HND,2022,10463881,North America
Hong Kong,HKG,2022,7465914,Asia
Hungary,HUN,2022,9684306,Europe
Iceland,ISL,2022,380368,Europe
India,IND,2022,1425423212,Asia
Indonesia,IDN,2022,278830529,Asia
Iran,IRN,2022,89524247,Asia
Iraq,IRQ,2022,44070556,Asia
Ireland,IRL,2022,5110013,Europe
Isle of Man,IMN,2022,84144,Europe
Israel,ISR,2022,9103144,Asia
Italy,ITA,2022,59619106,Europe
Jamaica,JAM,2022,2839151,North America
Japan,JPN,2022,124997586,Asia
Jersey,JEY,2022,103493,Europe
Jordan,JOR,2022,11256268,Asia
Kazakhstan,KAZ,2022,20034612,Asia
Kenya,KEN,2022,54252456,Africa
Kiribati,KIR,2022,130481,Oceania
Kosovo,OWID_KOS,2022,1717950,Europe
Kuwait,KWT,2022,4589514,Asia
Kyrgyzstan,KGZ,2022,6955792,Asia
Land-locked developing countries (LLDC),,2022,566128949
Laos,LAO,2022,7559007,Asia
Latin America and the Caribbean (UN),,2022,654366789
