Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Afghanistan,AFG,2022,40578846
Africa (UN),,2022,1446883651
Albania,ALB,2022,2827615
Algeria,DZA,2022,45477391
American Samoa,ASM,2022,48365
Americas (UN),,2022,1034848562
Andorra,AND,2022,79722
Angola,AGO,2022,35635028
Anguilla,AIA,2022,14202
Antigua and Barbuda,ATG,2022,92851
Argentina,ARG,2022,45407904
Armenia,ARM,2022,2880883
Aruba,ABW,2022,107792
Asia (UN),,2022,4747661012
Australia,AUS,2022,26200987
Austria,AUT,2022,9064679
Azerbaijan,AZE,2022,10295307
Bahamas,BHS,2022,397544
Bahrain,BHR,2022,1533459
Bangladesh,BGD,2022,169384890
Barbados,BRB,2022,282324
Belarus,BLR,2022,9173241
Belgium,BEL,2022,11641813
Belize,BLZ,2022,402741
Benin,BEN,2022,13759507
Bermuda,BMU,2022,64772
Bhutan,BTN,2022,780920
Bolivia,BOL,2022,12077155
Bonaire Sint Eustatius and Saba,BES,2022,28654
Bosnia and Herzegovina,BIH,2022,3204805
Botswana,BWA,2022,2439895
Brazil,BRA,2022,210306411
British Virgin Islands,VGB,2022,38344
Brunei,BRN,2022,455374
Bulgaria,BGR,2022,6825863
Burkina Faso,BFA,2022,22509037
Burundi,BDI,2022,13321101
Cambodia,KHM,2022,17201717
Cameroon,CMR,2022,27632771
Canada,CAN,2022,38821260
Cape Verde,CPV,2022,519750
Cayman Islands,CYM,2022,71609
Central African Republic,CAF,2022,5098038
Chad,TCD,2022,18455319
Chile,CHL,2022,19553032
China,CHN,2022,1425179562
Colombia,COL,2022,51737944
Comoros,COM,2022,834192
Congo,COG,2022,6035107
Cook Islands,COK,2022,14747
Costa Rica,CRI,2022,5081765
Cote d'Ivoire,CIV,2022,30395003
Croatia,HRV,2022,3907031
Cuba,CUB,2022,11059821
Curacao,CUW,2022,185351
Cyprus,CYP,2022,1331376
Czechia,CZE,2022,10673216
Democratic Republic of Congo,COD,2022,102396974
Denmark,DNK,2022,5902898
Djibouti,DJI,2022,1137100
Dominica,DMA,2022,66850
Dominican Republic,DOM,2022,11230734
East Timor,TLS,2022,1369299
Ecuador,ECU,2022,17823900
Egypt,EGY,2022,112618251
El Salvador,SLV,2022,6280316
Equatorial Guinea,GNQ,2022,1803550
Eritrea,ERI,2022,3409452
Estonia,EST,2022,1350092
Eswatini,SWZ,2022,1218921
Ethiopia,ETH,2022,125384285
Europe (UN),,2022,746964589
Falkland Islands,FLK,2022,3515
Faroe Islands,FRO,2022,54039
Fiji,FJI,2022,919428
Finland,FIN,2022,5569299
France,FRA,2022,66277412
French Guiana,GUF,2022,298319
French Polynesia,PYF,2022,280389
Gabon,GAB,2022,2430752
Gambia,GMB,2022,2636473
Georgia,GEO,2022,3794783
Germany,DEU,2022,84086228
Ghana,GHA,2022,33149151
Gibraltar,GIB,2022,37631
Greece,GRC,2022,10412481
Greenland,GRL,2022,56014
Grenada,GRD,2022,116928
Guadeloupe,GLP,2022,384703
Guam,GUM,2022,165193
Guatemala,GTM,2022,17847877
Guernsey,GGY,2022,63748
Guinea,GIN,2022,14055137
Guinea-Bissau,GNB,2022,2105537
Guyana,GUY,2022,821636
Haiti,HTI,2022,11503604
High-income countries,,2022,1254316684
Honduras,HND,2022,10463881
Hong Kong,HKG,2022,7465914
Hungary,HUN,2022,9684306
Iceland,ISL,2022,380368
India,IND,2022,1425423212
Indonesia,IDN,2022,278830529
Iran,IRN,2022,89524247
Iraq,IRQ,2022,44070556
Ireland,IRL,2022,5110013
Isle of Man,IMN,2022,84144
Israel,ISR,2022,9103144
Italy,ITA,2022,59619106
Jamaica,JAM,2022,2839151
Japan,JPN,2022,124997586
Jersey,JEY,2022,103493
Jordan,JOR,2022,11256268
Kazakhstan,KAZ,2022,20034612
Kenya,KEN,2022,54252456
Kiribati,KIR,2022,130481
Kosovo,OWID_KOS,2022,1717950
Kuwait,KWT,2022,4589514
Kyrgyzstan,KGZ,2022,6955792
Land-locked developing countries (LLDC),,2022,566128949
Laos,LAO,2022,7559007
Latin America and the Caribbean (UN),,2022,654366789
Latvia,LVA,2022,1881058
Least developed countries,,2022,1134811919
Lebanon,LBN,2022,5744494
Lesotho,LSO,2022,2286112
Less developed regions,,2022,6737630544
Less developed regions excluding China,,2022,5280860580
Less developed regions excluding least developed countries,,2022,5602818604
Liberia,LBR,2022,5373296
Libya,LBY,2022,7223804
Liechtenstein,LIE,2022,39336
Lithuania,LTU,2022,2816922
Low-income countries,,2022,716865787
Lower-middle-income countries,,2022,3216231043
Luxembourg,LUX,2022,653316
Macao,MAC,2022,704359
Madagascar,MDG,2022,30437263
Malawi,MWI,2022,20568731
Malaysia,MYS,2022,34695494
Maldives,MDV,2022,524116
Mali,MLI,2022,23072639
Malta,MLT,2022,528194
Marshall Islands,MHL,2022,40094
Martinique,MTQ,2022,349461
Mauritania,MRT,2022,4875645
Mauritius,MUS,2022,1276134
Mayotte,MYT,2022,305278
Mexico,MEX,2022,128613113
Micronesia (country),FSM,2022,112124
Moldova,MDA,2022,3039987
Monaco,MCO,2022,38949
Mongolia,MNG,2022,3386015
Montenegro,MNE,2022,614650
Montserrat,MSR,2022,4476
More developed regions,,2022,1283776661
Morocco,MAR,2022,37329069
Mozambique,MOZ,2022,32656240
Myanmar,MMR,2022,53756790
Namibia,NAM,2022,2889668
Nauru,NRU,2022,11821
Nepal,NPL,2022,29715434
Netherlands,NLD,2022,17904422
New Caledonia,NCL,2022,287131
New Zealand,NZL,2022,5131733
Nicaragua,NIC,2022,6730661
Niger,NER,2022,25311977
Nigeria,NGA,2022,223150906
Niue,NIU,2022,1844
North Korea,PRK,2022,26328842
North Macedonia,MKD,2022,1840236
Northern America (UN),,2022,380481767
Northern Mariana Islands,MNP,2022,46101
Norway,NOR,2022,5456795
Oceania (UN),,2022,45049350
Oman,OMN,2022,4730227
Pakistan,PAK,2022,243700667
Palau,PLW,2022,17784
Palestine,PSE,2022,5305274
Panama,PAN,2022,4400772
Papua New Guinea,PNG,2022,10203176
Paraguay,PRY,2022,6760461
Peru,PER,2022,33475435
Philippines,PHL,2022,113964342
Poland,POL,2022,38385734
Portugal,PRT,2022,10417075
Puerto Rico,PRI,2022,3240971
Qatar,QAT,2022,2892465
Reunion,REU,2022,871542
Romania,ROU,2022,19166776
Russia,RUS,2022,145579890
Rwanda,RWA,2022,13651026
Saint Barthelemy,BLM,2022,10948
Saint Helena,SHN,2022,5369
Saint Kitts and Nevis,KNA,2022,46731
Saint Lucia,LCA,2022,178794
Saint Martin (French part),MAF,2022,28898
Saint Pierre and Miquelon,SPM,2022,5760
Saint Vincent and the Grenadines,VCT,2022,102062
Samoa,WSM,2022,215269
San Marino,SMR,2022,34113
Sao Tome and Principe,STP,2022,226313
Saudi Arabia,SAU,2022,32175352
Senegal,SEN,2022,17651099
Serbia,SRB,2022,6791218
Seychelles,SYC,2022,125532
Sierra Leone,SLE,2022,8276808
Singapore,SGP,2022,5649886
Sint Maarten (Dutch part),SXM,2022,42163
Slovakia,SVK,2022,5473194
Slovenia,SVN,2022,2115230
Small island developing states (SIDS),,2022,72230333
Solomon Islands,SLB,2022,781075
Somalia,SOM,2022,17801893
South Africa,ZAF,2022,62378419
South Korea,KOR,2022,51782514
